experience_level,work_year,employment_type,company_size,job_title,company_location,salary_in_usd
3,2023,3,1,33,70,0.30316408462735017
2,2023,3,1,69,70,0.5504284416950647
3,2023,3,1,47,70,0.5009755702815217
3,2023,3,1,47,70,0.4065655430374853
3,2023,3,1,47,70,0.41555697420358406
3,2023,3,1,47,70,0.37059981837309053
2,2023,3,1,88,70,0.5054712858645711
2,2023,3,1,88,70,0.43803555211883083
3,2023,3,1,31,70,0.3930783962883373
3,2023,3,1,31,70,0.24696763983923323
3,2023,3,1,31,70,0.43803555211883083
3,2023,3,1,31,70,0.24696763983923323
3,2023,3,0,32,27,0.10907055576036039
1,2023,3,1,33,70,0.48299270794932436
1,2023,3,1,33,70,0.4492748410764542
2,2023,3,1,33,70,0.3930783962883373
2,2023,3,1,33,70,0.2806855067121034
3,2023,3,1,33,70,0.43803555211883083
3,2023,3,1,33,70,0.32564266254259694
3,2023,3,1,23,70,0.471753418991701
3,2023,3,1,23,70,0.37059981837309053
3,2023,3,1,69,70,0.544808797216253
3,2023,3,1,69,70,0.3755451055144448
3,2023,3,1,47,12,0.49198413911542305
3,2023,3,1,47,12,0.38408696512223856
3,2023,3,1,25,70,0.25820692879685664
3,2023,3,1,25,70,0.15705332817824613
0,2023,3,2,33,38,0.026727029141228414
3,2023,3,1,5,26,0.14203314241527826
2,2023,3,1,1,26,0.15709828533407663
3,2023,3,1,25,70,0.30316408462735017
3,2023,3,1,25,70,0.25820692879685664
3,2023,3,1,33,70,0.27618979112905406
3,2023,3,1,33,70,0.17166440382315654
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.24696763983923323
3,2023,3,1,33,70,0.4043176852459607
3,2023,3,1,33,70,0.30316408462735017
1,2023,3,1,58,70,0.5944864544089483
3,2023,3,1,41,70,0.21324977296636308
3,2023,3,1,41,70,0.16829261713586952
3,2023,3,1,47,70,0.5504284416950647
3,2023,3,1,47,70,0.3537408849366554
2,2023,3,1,1,70,0.43803555211883083
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.21324977296636308
1,2023,3,1,33,70,0.31440337358497356
1,2023,3,1,33,70,0.24696763983923323
3,2023,3,1,47,70,0.44590305438916716
3,2023,3,1,47,70,0.33013837812564634
3,2023,3,2,47,70,0.5257020059882932
3,2023,3,2,47,70,0.2647257163922782
3,2023,3,1,47,70,0.5212062904052439
3,2023,3,1,47,70,0.31440337358497356
3,2023,3,1,45,70,0.4195244432056251
3,2023,3,1,45,70,0.29020743231700197
3,2023,3,1,4,70,0.41555697420358406
3,2023,3,1,4,70,0.24022406646465919
3,2022,3,2,47,28,0.18685093106269726
0,2023,3,1,33,70,0.17953190609349293
0,2023,3,1,33,70,0.13457475026299937
3,2023,3,1,25,70,0.2919247956697268
3,2023,3,1,25,70,0.2256129908197488
3,2023,3,1,88,70,0.6470863267306258
3,2023,3,1,88,70,0.4043176852459607
3,2023,3,1,25,70,0.16829261713586952
3,2023,3,1,25,70,0.14581403922062275
3,2023,3,1,33,70,0.48299270794932436
3,2023,3,1,33,70,0.3481212404578437
3,2023,3,1,47,70,0.3818391073307139
3,2023,3,1,47,70,0.31440337358497356
3,2023,3,1,25,70,0.43803555211883083
3,2023,3,1,25,70,0.32227087585530995
3,2023,3,1,47,25,0.09701079870883049
3,2023,3,1,47,25,0.07530098815828516
3,2023,3,2,33,70,0.5290737926755802
3,2023,3,2,33,70,0.26652400262549797
3,2023,3,1,4,70,0.3321614501380185
3,2023,3,1,4,70,0.25168814120143507
3,2023,3,1,4,70,0.3773433917476645
3,2023,3,1,4,70,0.24247192425618389
3,2023,3,2,8,70,0.5729070196103114
3,2023,3,2,8,70,0.2941726534612515
1,2023,3,1,33,70,0.3818391073307139
1,2023,3,1,33,70,0.23572835088160984
3,2023,3,2,8,70,0.5729070196103114
3,2023,3,2,8,70,0.2941726534612515
3,2023,3,1,89,70,0.2806855067121034
3,2023,3,1,89,70,0.23572835088160984
3,2023,3,1,8,70,0.4492748410764542
3,2023,3,1,8,70,0.402069827454436
3,2023,3,1,25,70,0.32451873364683465
3,2023,3,1,25,70,0.27411052267189373
3,2023,3,1,47,70,0.42679626316120745
3,2023,3,1,47,70,0.3481212404578437
3,2023,3,1,33,70,0.4819474540762654
3,2023,3,1,33,70,0.31690973502252356
3,2023,3,1,47,70,0.37059981837309053
3,2023,3,1,47,70,0.2919247956697268
3,2023,3,1,47,70,0.3818391073307139
3,2023,3,1,47,70,0.31440337358497356
3,2023,3,1,47,70,0.43578769432730613
3,2023,3,1,47,70,0.3526169560408931
3,2023,3,2,8,70,0.48793799509067864
3,2023,3,2,8,70,0.2941726534612515
1,2023,3,1,4,70,0.48524056574084906
1,2023,3,1,4,70,0.332386235917171
3,2023,3,1,25,70,0.40881340082901
3,2023,3,1,25,70,0.27618979112905406
3,2023,3,1,89,70,0.4605141300340776
3,2023,3,1,89,70,0.2941726534612515
3,2023,3,1,47,70,0.3818391073307139
3,2023,3,1,47,70,0.21324977296636308
3,2023,3,1,33,70,0.3908305384968126
3,2023,3,1,33,70,0.23348049309008517
3,2023,3,1,47,70,0.5391891527374413
3,2023,3,1,47,70,0.3930783962883373
3,2023,3,1,25,70,0.3076598002103995
3,2023,3,1,25,70,0.15705332817824613
3,2023,3,1,37,70,0.4353381227690012
3,2023,3,1,37,70,0.2249386334822914
3,2023,3,1,25,70,0.26944621775448
3,2023,3,1,25,70,0.24022406646465919
3,2023,3,1,47,70,0.4605141300340776
3,2023,3,1,47,70,0.3368819515002203
3,2023,3,1,37,70,0.24696763983923323
3,2023,3,1,37,70,0.1817797638850176
3,2023,3,1,47,70,0.3593605294154671
3,2023,3,1,47,70,0.30316408462735017
3,2023,3,1,25,70,0.30091622683582553
3,2023,3,1,25,70,0.22673691971551113
0,2023,3,2,25,12,0.0798686351906633
3,2022,3,0,1,12,0.6066248864831816
3,2023,1,0,73,69,0.10085688339012921
2,2023,3,1,69,70,0.6194376758948723
2,2023,3,1,69,70,0.3266541985487831
0,2023,3,2,47,12,0.10479737809867197
3,2023,3,1,31,70,0.5515523705908271
3,2023,3,1,31,70,0.3469973115620814
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.24696763983923323
3,2023,3,1,25,70,0.30316408462735017
3,2023,3,1,25,70,0.25820692879685664
0,2023,3,1,47,70,0.2806877545698949
0,2023,3,1,47,70,0.1501007040290603
2,2023,3,1,47,70,0.19957830187831
2,2023,3,1,47,70,0.10526718037710063
3,2023,3,1,25,12,0.3818391073307139
3,2023,3,1,25,12,0.2919247956697268
0,2023,3,1,33,70,0.17953190609349293
0,2023,3,1,33,70,0.13457475026299937
3,2023,3,1,69,70,0.5661634462357374
3,2023,3,1,69,70,0.31889908916802295
3,2023,3,1,33,70,0.4874884235323737
3,2023,3,1,33,70,0.3818391073307139
3,2023,3,1,47,70,0.44477912549340487
3,2023,3,1,47,70,0.2878786516449824
0,2023,3,2,8,70,0.4687412895510579
0,2023,3,2,8,70,0.28239387863366217
3,2023,3,1,33,70,0.48524056574084906
3,2023,3,1,33,70,0.31889908916802295
3,2023,3,1,41,70,0.21324977296636308
3,2023,3,1,41,70,0.16829261713586952
3,2023,3,1,47,70,0.40634075725833285
3,2023,3,1,47,70,0.2791120062580361
3,2023,3,1,47,70,0.5234541481967685
3,2023,3,1,47,70,0.339129809291745
3,2023,3,1,69,70,0.43578769432730613
2,2023,3,1,16,25,0.09701079870883049
3,2023,3,1,33,70,0.32564266254259694
3,2023,3,1,33,70,0.2806855067121034
3,2023,3,1,47,70,0.30316408462735017
3,2023,3,1,47,70,0.23572835088160984
2,2023,3,1,25,70,0.1907711950511163
2,2023,3,1,25,70,0.15705332817824613
2,2023,3,1,89,28,0.42880809588462204
2,2023,3,1,89,28,0.21948083476446947
3,2023,3,1,33,70,0.5279498637798179
3,2023,3,1,33,70,0.4011706843378261
2,2023,3,1,49,70,0.2806855067121034
2,2023,3,1,49,70,0.16829261713586952
3,2023,3,1,33,70,0.5504284416950647
3,2023,3,1,33,70,0.32564266254259694
3,2023,3,1,29,70,0.3481212404578437
3,2023,3,1,29,70,0.25820692879685664
3,2023,3,1,69,70,0.638265732756683
3,2023,3,1,69,70,0.4433247615022884
