employee_residence_US,job_title_Data Analyst,company_location_CA,employee_residence_CA,employee_residence_IN,job_title_Data Science Manager,company_location_US,experience_level,job_title_Applied Scientist,employee_residence_DE,job_title_Machine Learning Engineer,company_location_ES,job_title_Research Scientist,company_location_GB,work_year,job_title_Data Manager,salary_in_usd
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4412949459165416
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.617864175440805
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4605141300340776
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.6180889612199575
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3663288885691936
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4234244764739204
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.30091622683582553
0,0,0,0,0,0,0,2,0,0,0,0,0,0,2023,0,0.1347141174460739
0,0,0,0,0,0,1,3,0,0,1,0,0,0,2023,0,0.32564266254259694
0,0,0,0,1,0,0,2,0,0,0,0,0,0,2023,0,0.14525432263053312
0,0,0,0,0,0,0,2,0,0,1,0,0,0,2023,0,0.20555760360376563
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.40634075725833285
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2791120062580361
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.49423199690694775
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3818391073307139
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4043176852459607
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.30316408462735017
0,0,0,0,0,0,0,3,0,0,0,1,0,0,2023,0,0.09701079870883049
0,0,0,0,0,0,0,3,0,0,0,1,0,0,2023,0,0.07530098815828516
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.22448906192398646
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.14581403922062275
1,0,0,0,0,0,1,0,0,0,1,0,0,0,2023,0,0.3553053939595566
1,0,0,0,0,0,1,0,0,0,1,0,0,0,2023,0,0.3163927277304729
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4762491345747503
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4043176852459607
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.44432955393509993
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.22291556146991917
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.31440337358497356
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.13457475026299937
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3593605294154671
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.28585557963261016
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3912126743213718
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2004369835546724
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.33126230702140863
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.25022703363694404
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.544359225657948
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2892273663198972
